LEAID,total_students,american_indian_alaskan_native_students,american_indian_alaskan_native_male_students,american_indian_alaskan_native_female_students,asian_hawaiian_native_pacific_islander_students,asian_hawaiian_native_pacific_islander_male_students,asian_hawaiian_native_pacific_islander_female_students,hispanic_students,hispanic_male_students,hispanic_female_students,black_non_hispanic_students,black_non_hispanic_male_students,black_non_hispanic_female_students,white_students,white_male_students,white_female_students
2104920,387,1,1,0,0,0,0,2,1,1,98,57,41,286,164,122
2104950,7604,23,11,12,23,13,10,82,54,28,54,39,15,7422,3847,3575
2104980,971,0,0,0,3,3,0,0,0,0,4,2,2,964,497,467
2105040,408,0,0,0,0,0,0,0,0,0,0,0,0,408,196,212
2105070,2928,2,0,2,0,0,0,4,2,2,3,2,1,2919,1533,1386
2105100,2962,11,6,3,19,7,10,15,9,4,31,16,13,2878,1480,1396
2105130,2119,1,1,0,16,9,7,11,7,4,20,8,12,2071,1067,1004
2105160,2839,0,0,0,5,1,4,22,13,9,14,9,5,2798,1444,1354
2105190,1172,4,3,1,10,8,2,20,10,10,313,148,165,825,427,398
2105220,470,0,0,0,1,1,0,1,0,1,7,1,6,461,264,197
2105260,6641,5,3,0,30,16,12,136,76,58,362,202,158,6100,3197,2901
2105320,5560,13,7,6,34,19,15,544,289,255,531,278,253,4438,2302,2136
2105370,269,1,-1,0,-2,-2,-2,3,-1,2,1,-1,0,258,133,123
2105400,3018,11,5,6,14,9,5,24,12,12,356,177,179,2613,1378,1235
2105430,1568,6,4,2,30,16,14,30,13,17,94,47,47,1408,743,665
2105460,145,1,1,0,1,1,0,1,1,0,3,1,2,139,75,64
2105490,2351,-2,-2,-2,2,1,-1,11,5,4,40,13,25,2292,1209,1081
2105520,2528,4,3,1,10,5,5,21,12,9,29,16,13,2464,1245,1219
2105550,1960,1,0,1,4,2,2,44,24,20,202,97,105,1709,866,843
2105580,2020,2,1,1,8,5,3,18,11,7,280,155,125,1712,893,819
2105610,1578,9,5,4,0,0,0,25,14,11,9,9,0,1535,776,759
2105640,2358,1,0,1,4,3,1,13,7,6,360,203,157,1980,1000,980
2105700,1155,2,1,1,4,2,2,6,4,2,4,2,2,1139,594,545
2105730,11440,10,4,6,183,89,94,354,181,173,1097,592,505,9796,5134,4662
2105760,1789,0,0,0,8,3,5,59,35,24,196,93,103,1526,785,741
2105790,2496,-1,-2,-1,-1,-2,-1,21,9,10,51,27,22,2418,1278,1138
2105820,1852,0,0,0,1,0,1,59,33,26,24,11,13,1768,895,873
2105850,130,0,0,0,0,0,0,0,0,0,1,0,1,129,71,58
2105880,4673,0,0,0,3,2,1,0,0,0,4,2,2,4666,2424,2242
2105910,735,0,0,0,3,2,1,2,1,1,10,5,5,720,381,339
2105940,866,1,1,0,1,1,0,14,9,5,6,2,4,844,458,386
2105970,1275,0,0,0,2,2,0,1,1,0,9,4,5,1263,687,576
2106000,3748,7,5,2,19,8,11,145,69,76,226,118,108,3351,1628,1723
2200009,279,0,0,0,0,0,0,0,0,0,213,114,-1,66,39,-1
