LEAID,total_students,american_indian_alaskan_native_students,american_indian_alaskan_native_male_students,american_indian_alaskan_native_female_students,asian_hawaiian_native_pacific_islander_students,asian_hawaiian_native_pacific_islander_male_students,asian_hawaiian_native_pacific_islander_female_students,hispanic_students,hispanic_male_students,hispanic_female_students,black_non_hispanic_students,black_non_hispanic_male_students,black_non_hispanic_female_students,white_students,white_male_students,white_female_students
0100002,81,0,0,0,0,0,0,0,0,0,49,43,6,32,29,3
0100005,3653,1,1,0,15,9,6,835,458,377,73,37,36,2729,1347,1382
0100006,5104,2,1,-1,5,2,1,341,177,162,10,5,3,4738,2566,2170
0100007,11563,12,5,5,667,352,313,541,278,261,1881,940,939,8454,4299,4153
0100008,7162,67,35,32,384,194,190,183,94,89,1396,704,692,5132,2686,2446
0100009,378,1,0,1,1,1,0,10,3,7,172,84,88,194,111,83
0100010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0100011,1297,4,2,2,5,1,4,33,14,19,410,222,188,845,453,392
0100012,2094,2,2,0,19,11,8,186,107,79,21,12,9,1866,985,881
0100018,339,0,0,0,35,17,18,3,0,3,59,14,45,242,88,154
0100030,3494,4,2,0,12,6,4,39,20,17,1371,730,639,2060,1074,984
0100060,1625,2,2,0,9,7,2,12,5,7,538,260,278,1064,537,527
0100090,2567,0,0,0,5,1,4,43,23,20,2371,1236,1135,148,83,65
0100100,2611,6,3,3,9,3,6,22,10,12,3,2,1,2571,1368,1203
0100120,2758,13,4,9,27,17,10,237,121,116,727,377,350,1754,901,853
0100180,1778,2,1,1,6,4,2,73,44,29,251,142,109,1446,768,678
0100210,4977,9,5,2,287,135,150,78,45,31,1476,742,732,3119,1609,1508
0100240,9198,37,21,14,79,39,38,88,43,43,2097,1040,1055,6889,3589,3298
0100270,24439,122,66,52,132,57,71,536,284,248,3894,2001,1889,19739,10217,9518
0100300,1260,-5,-5,-6,-6,-6,-6,9,0,3,1178,615,557,60,34,20
0100330,4123,-2,-2,-2,2,1,-1,75,35,38,3943,2012,1929,97,52,43
0100360,3557,3,2,-1,3,0,1,24,15,7,986,496,488,2533,1322,1209
0100390,31839,4,0,0,58,30,24,473,268,201,30943,15695,15244,345,168,173
0100420,7751,14,6,6,14,8,4,612,324,286,35,14,19,7068,3633,3433
0100450,1379,6,4,2,13,5,8,9,5,4,571,270,301,780,402,378
0100480,1779,-2,-2,-2,-2,-2,-2,45,25,18,1728,882,844,2,1,-1
0100510,3546,3,0,1,12,3,7,8,4,2,2113,1074,1037,1402,729,671
0100540,8914,12,4,6,30,9,19,95,56,37,1227,618,607,7542,3925,3615
0100600,4327,1,-1,0,7,5,0,16,10,4,2197,1101,1094,2098,1110,986
0100630,4223,35,22,11,5,0,3,25,11,12,259,144,113,3891,2044,1845
0100660,7208,0,-1,-1,27,10,15,371,204,165,1013,524,487,5789,3025,2762
0100690,2062,-9,-9,-10,-5,-7,-8,-8,-9,-9,1527,786,731,517,273,234
0100720,3537,2,1,1,7,3,4,8,4,4,2313,1145,1168,1207,618,589
0100750,2064,3,2,1,3,2,1,68,37,31,476,244,232,1514,792,722
0100780,2501,1,-1,0,3,-1,2,26,14,10,98,48,48,2365,1211,1152
0100810,1923,57,26,31,8,4,4,9,4,5,123,67,56,1726,882,844
0100840,3218,16,8,8,2,1,1,45,28,17,500,258,242,2655,1480,1175
0100870,1845,-2,-2,-2,1,-1,0,-2,-2,-2,1477,758,717,363,203,158
0100900,1505,2,0,0,-1,-2,-1,1,-1,0,763,390,371,732,381,349
0100930,3226,21,9,12,9,4,5,14,8,6,293,172,121,2889,1510,1379
0100960,2483,1,-1,0,18,10,6,18,11,5,813,422,389,1625,894,729
0100990,2679,1,1,-2,17,6,9,173,93,78,10,3,5,2470,1319,1149
0101020,9837,5,2,1,21,13,6,275,156,117,124,63,59,9404,4882,4520
0101050,2852,10,5,5,12,7,5,19,8,11,541,271,270,2270,1218,1052
0101080,1468,10,2,8,31,10,21,96,56,40,535,276,259,796,444,352
0101110,4418,-2,-2,-2,11,7,2,-2,-2,-2,3397,1726,1669,1006,506,498
0101140,8329,860,420,438,25,11,12,1090,552,536,75,38,35,6271,3352,2917
0101170,8845,24,12,12,78,39,39,949,502,447,2967,1447,1520,4827,2472,2355
0101200,2334,0,0,0,11,6,5,28,11,17,1222,627,595,1073,563,510
0101230,8650,16,7,7,85,52,31,139,68,69,4568,2329,2237,3834,1985,1847
0101260,913,8,3,3,3,-1,2,7,3,2,361,180,179,526,298,226
0101290,10285,14,5,7,72,37,33,145,71,72,2772,1412,1358,7274,3859,3413
0101320,5523,33,25,8,137,67,70,331,163,168,1458,746,712,3564,1827,1737
0101350,4507,226,111,111,3,2,-3,38,14,20,1762,905,853,2462,1309,1149
0101380,8858,14,4,8,34,23,9,117,64,51,284,157,125,8401,4312,4087
0101410,2999,2,1,1,12,6,6,59,27,32,1618,820,798,1308,690,618
0101440,2390,-2,-2,-2,-2,-2,-2,13,7,4,2369,1201,1166,4,1,1
0101470,2602,1,1,0,5,3,2,17,7,10,411,196,215,2168,1145,1023
0101530,4171,7,4,3,42,24,18,137,72,65,1582,786,796,2403,1215,1188
0101560,2713,3,1,2,20,15,5,627,324,303,168,81,87,1895,965,930
0101590,3033,2,1,-1,0,0,-2,156,83,71,12,8,2,2855,1462,1391
0101620,5329,9,-1,6,40,24,12,237,138,95,2941,1465,1472,2086,1045,1037
0101640,1260,3,1,2,1,0,1,21,16,5,193,99,94,1042,529,513
0101660,2701,8,6,2,10,9,1,74,47,27,439,222,217,2170,1142,1028
0101680,1610,-2,-2,-2,0,-1,-1,-2,-2,-2,1606,850,754,0,-1,-1
0101690,1789,1,1,0,19,11,8,55,31,24,249,129,120,1465,783,682
0101710,3164,1,-1,0,1,0,-1,13,6,5,2323,1164,1157,818,418,398
0101720,1695,-2,-2,-2,0,-1,-1,63,32,29,16,7,7,1610,831,777
0101730,3046,12,9,1,3,2,-1,47,23,22,152,80,70,2824,1440,1382
0101740,2713,3,0,3,7,4,3,38,17,21,1224,604,620,1441,732,709
0101760,3230,4,2,2,100,56,44,173,89,84,921,488,433,2032,1083,949
0101770,6216,6,1,3,26,16,8,64,38,24,1151,603,546,4961,2559,2400
0101800,22399,110,47,57,541,259,276,692,354,332,9699,5014,4679,11333,5825,5502
0101830,5985,608,308,298,9,4,3,110,58,50,248,112,134,5002,2651,2349
0101860,1704,3,3,0,20,12,8,40,22,18,399,207,192,1242,662,580
0101890,2696,1,1,0,22,9,13,55,25,30,539,277,262,2079,1067,1012
0101920,39432,38,23,13,212,112,98,805,425,378,12331,6336,5993,26038,13514,12522
0101950,2401,-1,-1,-2,1,0,-1,21,10,9,439,232,205,1933,969,962
0101980,988,0,0,0,0,0,0,6,6,0,843,427,416,139,69,70
0102010,8867,-1,-1,-2,8,2,4,73,33,38,264,130,132,8515,4396,4117
0102040,5650,1193,587,604,8,6,0,60,33,25,908,474,432,3473,1887,1584
0102070,9455,25,17,8,46,25,21,141,78,63,2275,1139,1136,6968,3591,3377
0102100,8178,18,10,6,23,10,11,283,139,142,837,448,387,7009,3639,3368
0102130,563,-2,-2,-2,-2,-2,-2,0,-2,0,558,290,266,1,-1,0
0102160,2309,-2,-2,-2,-2,-2,-2,-1,-1,-2,2293,1152,1139,13,10,1
0102190,3276,0,0,0,1,1,0,2,2,0,3180,1638,1542,93,47,46
0102220,17496,827,415,410,153,59,92,260,124,134,2781,1458,1321,13467,7045,6420
0102250,1615,0,0,0,8,4,4,3,1,2,1354,703,651,250,149,101
0102310,3658,4,3,1,3,1,2,51,25,26,161,87,74,3439,1837,1602
0102350,1203,-2,-2,-2,6,3,1,3,2,-1,1147,599,546,41,24,15
0102370,63975,541,286,243,1366,745,609,525,275,238,32468,16721,15735,29027,15066,13949
0102400,4295,40,22,16,23,12,9,8,2,4,2392,1250,1140,1824,953,869
0102430,31985,47,29,18,530,264,266,401,205,196,24623,12481,12142,6384,3316,3068
0102480,7687,27,14,11,21,15,4,155,76,77,206,121,83,7270,3778,3490
0102490,4247,0,0,0,34,16,18,17,11,6,8,3,5,4188,2133,2055
0102520,2574,9,3,4,25,15,8,34,15,17,421,203,216,2077,1039,1036
0102550,1365,1,0,1,10,5,5,207,109,98,70,32,38,1077,582,495
0102580,4325,3,1,2,67,34,33,49,22,27,2758,1423,1335,1448,738,710
0102610,1386,2,2,0,3,2,1,1,0,1,305,142,163,1075,536,539
0102635,3897,1,-1,0,47,25,20,190,107,81,757,378,377,2894,1466,1426
0102640,2673,13,6,5,13,8,3,40,21,17,1172,609,561,1427,752,673
0102650,4056,9,3,6,12,7,5,57,26,31,476,247,229,3502,1863,1639
0102670,2094,0,0,0,0,0,0,1,0,1,2075,1036,1039,18,9,9
0102700,5198,3,0,3,29,16,13,52,28,24,3283,1718,1565,1831,935,896
0102730,3240,-2,-2,-2,0,-1,-1,10,6,2,2114,1104,1008,1110,562,546
0102760,1004,1,1,0,0,0,0,22,14,8,148,72,76,833,419,414
0102790,2156,8,5,1,3,1,0,15,11,2,1113,610,501,1009,548,459
0102820,2304,-2,-2,-2,5,0,3,66,29,35,424,224,198,1803,937,864
0102850,1434,-1,-2,-1,1,-1,0,18,8,8,636,322,312,772,402,368
0102880,3696,-2,-2,-6,25,10,9,55,31,18,1542,774,762,2052,1060,986
0102910,2399,1,1,0,4,1,3,520,278,242,234,110,124,1640,826,814
0102940,2747,5,4,1,19,8,11,52,20,32,218,115,103,2453,1251,1202
0102970,4268,0,-1,-1,13,5,6,-2,-2,-2,4071,2052,2017,178,79,97
0103000,1241,1,1,0,2,1,1,25,14,11,588,274,314,625,362,263
0103030,23332,36,10,22,351,179,168,1081,577,500,2792,1507,1281,19056,9928,9124
0103062,7584,17,6,9,59,47,10,141,83,56,631,353,276,6728,3621,3105
0103090,2568,-2,-2,-2,-2,-2,-2,-2,-2,-2,2565,1407,1156,1,1,-2
0103120,2415,4,3,1,6,3,3,13,6,7,943,455,488,1449,748,701
0103150,2767,0,-2,0,7,2,3,12,7,3,1512,773,737,1228,638,588
0103180,7660,5,3,0,24,13,9,46,20,24,3098,1615,1481,4479,2364,2113
0103210,3350,4,2,0,6,2,2,12,8,2,1284,620,662,2036,1072,962
0103240,1849,2,1,1,11,8,3,17,9,8,513,269,244,1306,666,640
0103270,1506,0,-1,-1,-1,-2,-1,39,18,19,944,485,457,516,280,234
0103300,1659,3,1,2,3,1,2,1,0,1,751,367,384,901,481,420
0103330,2361,-1,-2,-1,19,8,9,20,11,7,1322,682,638,993,521,470
0103360,10022,0,0,-2,126,63,61,151,80,69,7315,3737,3576,2422,1213,1207
0103390,15976,14,5,7,75,40,33,168,87,79,3954,2022,1930,11757,6116,5639
0103420,1444,-1,-2,-1,1,-1,0,9,4,3,396,204,190,1031,533,496
0103430,5488,24,10,14,223,105,118,67,35,32,389,201,188,4785,2497,2288
0103450,8351,7,2,3,-2,-2,-2,51,26,23,505,270,233,7782,4065,3715
0103480,3575,295,146,147,10,3,5,3,2,-1,1147,614,531,2112,1157,953
0103510,2334,1,0,1,1,1,0,2,0,2,2320,1227,1093,10,8,2
0103540,1281,0,0,0,7,2,5,12,8,4,78,42,36,1184,622,562
0103580,2758,0,-1,-1,0,0,-2,3,0,1,0,-2,0,2747,1443,1302
0200001,3851,3637,1891,1744,16,8,6,5,0,3,15,8,5,170,94,74
0200003,2046,2032,1069,963,0,0,0,1,1,0,0,0,0,13,7,6
0200004,452,446,223,223,0,0,0,0,0,0,0,0,0,6,4,2
0200005,361,360,188,172,0,0,0,0,0,0,0,0,0,1,1,0
0200006,369,347,131,216,2,2,0,1,0,1,0,0,0,19,9,10
0200007,294,243,119,124,6,2,4,9,5,4,0,0,0,36,19,17
0200010,46,31,24,7,4,1,3,1,1,0,0,0,0,10,9,1
0200020,1709,1688,868,820,1,0,1,0,0,0,0,0,0,20,6,14
0200030,182,119,64,53,0,-1,-1,-2,-2,-2,-2,-2,-2,59,28,29
0200050,448,226,111,115,4,1,3,6,3,3,2,2,0,210,105,105
0200060,457,91,46,45,67,33,34,9,7,2,5,1,4,285,149,136
0200070,649,222,100,120,13,7,4,6,5,-1,3,0,1,397,194,201
0200090,743,164,92,72,40,20,20,12,4,8,4,2,2,523,275,248
0200100,1255,138,65,73,63,33,30,74,42,32,49,23,26,931,498,433
0200120,541,475,272,203,7,4,3,4,2,2,0,0,0,55,30,25
0200130,3765,437,240,197,79,37,42,79,31,48,87,41,46,3083,1550,1533
0200150,2323,703,371,330,164,71,91,62,26,34,22,14,6,1364,690,672
0200180,49535,7105,3661,3434,5798,2933,2855,3325,1696,1619,4290,2214,2066,28977,14981,13986
0200210,5351,1309,667,642,536,263,273,211,120,91,62,37,25,3233,1655,1578
0200240,1515,471,232,239,126,62,64,42,23,19,14,8,6,862,446,416
0200270,298,51,21,28,2,2,-2,0,-1,-1,-2,-2,-2,239,124,113
0200300,170,145,76,69,3,1,2,3,1,2,1,0,1,18,9,9
0200330,71,68,31,35,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-1,0
0200360,139,125,68,55,-2,-2,-2,0,0,-2,-2,-2,-2,10,3,5
0200390,9713,1232,638,592,176,90,84,167,74,91,73,41,30,8057,4170,3885
0200450,159,104,51,51,-2,-2,-2,5,4,-1,-2,-2,-2,46,20,24
0200480,2699,612,326,284,636,348,286,181,92,87,32,15,15,1230,633,595
0200485,406,367,185,182,0,0,0,0,0,0,2,0,2,37,22,15
0200510,14766,1688,860,826,202,105,95,333,179,152,151,84,65,12384,6495,5887
0200520,356,266,144,122,8,6,2,0,0,0,2,0,2,80,36,44
0200525,303,295,144,151,0,0,0,0,0,0,0,0,0,8,6,2
0200540,783,170,73,97,20,9,11,20,10,10,17,6,11,556,251,305
0200570,765,588,297,291,5,3,2,10,8,2,5,2,3,157,88,69
0200600,14754,2153,1116,1037,488,237,251,656,346,310,1162,601,561,10295,5336,4959
0200610,1938,1654,864,790,127,54,73,15,10,5,15,9,6,127,72,55
0200625,2143,2011,1013,998,13,8,5,2,1,1,2,1,1,115,62,53
0200630,12,10,7,3,0,0,0,0,0,0,0,0,0,2,0,2
0200660,638,107,53,54,27,14,13,22,14,8,12,9,3,470,248,222
0200670,125,120,58,62,0,0,0,0,0,0,0,0,0,5,1,4
0200680,166,165,89,76,0,0,0,0,0,0,1,0,1,0,0,0
0200690,109,7,5,2,3,1,2,3,0,3,1,1,0,95,40,55
0200700,217,35,13,22,0,0,0,7,7,0,1,1,0,174,104,70
0200710,714,710,360,350,2,1,1,0,0,0,0,0,0,2,1,1
0200715,119,70,32,38,3,2,1,2,2,0,4,2,2,40,29,11
0200720,440,81,43,38,116,57,59,56,22,34,2,1,1,185,92,93
0200730,205,142,76,64,-1,-1,-2,-1,-1,-2,-2,-2,-2,59,35,22
0200760,414,402,194,206,-2,-2,-2,-2,-2,-2,-2,-2,-2,10,3,5
0200770,656,50,31,19,4,1,3,12,7,5,40,22,18,550,282,268
0200775,279,266,151,115,1,0,1,1,1,0,0,0,0,11,5,6
0200780,836,140,70,70,24,16,8,22,13,9,5,4,1,645,336,309
0200800,239,76,39,37,9,6,3,1,0,1,8,7,1,145,66,79
0200810,375,111,57,54,8,3,5,4,3,1,2,0,2,250,138,112
0200840,132,94,47,45,10,1,7,-1,-2,-1,-2,-2,-2,23,6,15
0200862,1903,585,288,293,27,9,14,23,9,10,53,31,18,1199,589,606
0400001,5518,16,9,7,121,54,67,341,176,165,56,27,29,4984,2567,2417
0400003,2729,27,13,14,11,5,6,513,258,255,29,15,14,2149,1132,1017
0400004,389,57,24,33,2,2,0,109,58,51,4,3,1,217,94,123
0400005,101,0,0,0,1,1,0,48,25,23,5,3,2,47,28,19
0400016,603,0,0,0,5,5,0,442,213,229,23,13,10,133,55,78
0400018,222,14,6,8,4,2,2,25,6,19,6,3,3,173,89,84
0400019,156,12,4,8,2,1,1,13,7,6,2,1,1,127,53,74
0400020,259,9,4,5,11,7,4,30,11,19,3,2,1,206,94,112
0400021,407,0,0,0,0,0,0,0,0,0,0,0,0,407,210,197
0400022,99,3,0,3,0,0,0,15,11,4,0,0,0,81,33,48
0400023,1405,1402,721,679,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-1,0
0400026,580,24,9,15,2,1,1,38,17,21,2,2,0,514,250,264
0400027,110,70,34,36,1,1,0,4,2,2,2,1,1,33,13,20
0400028,94,2,1,1,3,1,2,15,8,7,2,1,1,72,36,36
0400031,80,1,0,1,2,0,2,3,2,1,0,0,0,74,31,43
0400033,175,3,1,2,5,4,1,105,57,48,26,12,14,36,16,20
0400034,662,8,4,4,49,24,25,62,29,33,13,5,8,530,252,278
0400036,273,0,0,0,4,4,0,6,4,2,0,0,0,263,139,124
0400037,121,0,0,0,0,0,0,7,3,4,4,2,2,110,53,57
0400038,173,0,0,0,7,5,2,1,0,1,1,0,1,164,81,83
0400039,121,5,4,1,0,0,0,16,4,12,10,6,4,90,42,48
0400040,1136,6,3,3,46,20,26,93,42,51,28,10,18,963,499,464
0400041,174,4,2,2,0,0,0,96,50,46,29,16,13,45,27,18
0400043,282,7,2,5,5,1,4,13,7,6,11,6,5,246,85,161
0400045,87,0,0,0,1,0,1,13,9,4,4,2,2,69,44,25
0400047,271,267,146,121,0,0,0,4,3,1,0,0,0,0,0,0
0400048,70,-3,-3,-4,-2,-3,-3,3,0,-1,0,-3,-1,56,27,25
0400049,176,6,5,1,4,2,2,10,4,6,14,8,6,142,67,75
0400050,83,0,0,0,1,0,1,18,8,10,5,3,2,59,30,29
0400051,68,2,-1,1,-2,-2,-2,16,8,6,7,5,0,37,21,14
0400052,712,8,3,5,3,0,3,643,329,314,29,13,16,29,20,9
0400053,397,0,0,0,6,3,3,36,14,22,3,0,3,352,146,206
0400054,482,6,4,2,18,8,10,42,18,24,15,5,10,401,201,200
0400055,158,6,1,3,-1,-1,-2,24,15,7,5,1,2,116,65,49
0400056,355,2,1,1,9,2,7,25,6,19,22,8,14,297,88,209
0400057,129,6,1,5,0,0,0,109,52,57,11,3,8,3,1,2
0400058,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
0400059,160,5,3,2,3,1,2,32,15,17,19,15,4,101,60,41
0400061,143,8,5,3,2,0,2,12,5,7,1,1,0,120,68,52
0400062,244,1,1,0,1,0,1,240,124,116,1,1,0,1,0,1
0400064,124,0,0,0,0,0,0,24,12,12,4,2,2,96,53,43
0400065,1295,7,4,3,28,12,16,94,42,52,31,15,16,1135,573,562
0400066,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
0400067,46,0,0,0,0,0,0,36,18,18,7,3,4,3,2,1
0400068,375,13,6,7,18,9,9,98,51,47,17,12,5,229,123,106
0400069,130,5,2,3,13,7,6,17,11,6,17,9,8,78,36,42
0400070,322,1,1,0,21,8,13,18,6,12,9,1,8,273,118,155
0400071,427,0,0,0,61,35,26,31,17,14,21,6,15,314,148,166
0400072,417,9,3,6,10,6,4,30,17,13,8,2,6,360,166,194
0400073,51,1,1,0,0,0,0,9,4,5,30,13,17,11,7,4
0400074,1289,15,5,10,32,20,12,94,44,50,14,6,8,1134,557,577
0400075,386,5,3,2,16,10,6,42,19,23,3,2,1,320,154,166
0400076,561,550,263,287,0,0,0,0,0,0,0,0,0,11,8,3
0400077,134,51,22,25,-4,-4,-4,6,-1,3,-3,-3,-4,68,36,28
0400078,193,34,12,22,3,2,1,78,37,41,10,6,4,68,36,32
0400079,171,11,6,5,1,1,0,125,61,64,5,2,3,29,17,12
0400081,345,16,8,8,1,1,0,111,48,63,21,11,10,196,105,91
0400082,2279,64,31,33,21,10,11,569,287,282,31,17,14,1594,828,766
0400083,1591,39,20,17,10,7,1,730,366,362,59,34,23,745,368,375
0400085,91,6,3,3,1,1,0,69,36,33,11,5,6,4,1,3
0400087,71,1,0,1,0,0,0,39,19,20,0,0,0,31,17,14
0400088,40,10,0,10,0,0,0,11,0,11,2,0,2,17,0,17
0400089,185,0,0,0,7,2,5,18,10,8,3,3,0,157,73,84
0400090,179,0,0,0,0,0,0,15,9,6,1,0,1,163,82,81
0400092,338,2,1,1,6,5,1,34,16,18,2,1,1,294,131,163
0400093,128,4,2,2,1,0,1,2,2,0,0,0,0,121,66,55
0400094,105,1,1,0,0,0,0,74,40,34,2,1,1,28,12,16
0400095,106,3,1,2,0,0,0,89,44,45,2,0,2,12,7,5
0400096,133,2,0,2,1,1,0,2,2,0,0,0,0,128,63,65
0400097,293,11,6,5,14,6,8,16,6,10,0,0,0,252,119,133
0400098,201,13,8,5,1,0,1,18,8,10,1,1,0,168,93,75
0400099,72,2,1,1,0,0,0,24,8,16,0,0,0,46,27,19
0400100,581,12,6,6,8,3,5,81,40,41,30,17,13,450,244,206
0400101,656,7,3,4,5,4,1,420,224,196,82,33,49,142,78,64
0400102,221,0,0,0,0,0,0,219,108,111,2,1,1,0,0,0
0400103,444,10,8,2,2,1,1,110,57,53,21,15,6,301,182,119
0400104,32,2,1,1,0,0,0,7,3,4,2,0,2,21,12,9
0400105,177,1,1,0,4,2,2,21,15,6,19,8,11,132,75,57
0400106,236,4,3,1,1,0,1,13,4,9,3,0,3,215,86,129
0400107,55,0,0,0,2,2,0,6,3,3,6,3,3,41,25,16
0400108,727,83,35,48,9,3,6,225,114,111,68,44,24,342,187,155
0400109,894,28,16,12,2,2,0,684,351,333,50,31,19,130,72,58
0400111,313,7,5,2,22,7,15,30,15,15,35,11,24,219,105,114
0400112,241,5,3,2,1,0,1,24,13,11,6,4,2,205,82,123
0400113,249,0,0,0,1,0,1,0,0,0,0,0,0,248,110,138
0400114,112,10,7,3,0,0,0,98,42,56,4,2,2,0,0,0
0400115,239,1,0,1,19,10,9,22,13,9,5,2,3,192,92,100
0400116,251,249,112,137,0,0,0,0,0,0,0,0,0,2,2,0
0400117,35,2,2,0,2,0,2,3,1,2,1,1,0,27,14,13
0400119,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
0400120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0400121,301,5,3,2,2,2,0,17,7,10,0,0,0,277,165,112
0400122,379,0,0,0,1,0,1,364,162,202,4,2,2,10,6,4
0400124,105,5,2,3,3,2,1,81,50,31,7,4,3,9,4,5
0400125,224,2,2,0,4,3,1,190,100,90,5,1,4,23,10,13
0400126,86,5,3,2,3,2,1,16,5,11,1,1,0,61,24,37
0400128,191,7,2,5,0,0,0,106,53,53,48,22,26,30,14,16
0400129,289,6,3,3,14,7,7,105,53,52,12,6,6,152,84,68
0400130,299,8,3,5,9,4,5,37,20,17,5,1,4,240,118,122
0400131,741,17,4,7,15,9,0,309,163,140,78,34,38,298,163,129
0400133,320,3,2,1,2,2,0,93,52,41,64,38,26,158,81,77
0400134,300,0,0,0,0,0,0,1,0,1,0,0,0,299,167,132
0400135,599,5,2,3,44,22,22,93,43,50,30,18,12,427,207,220
0400136,70,8,2,6,0,0,0,29,19,10,0,0,0,33,19,14
0400137,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
0400138,141,0,0,0,5,5,0,24,18,6,8,2,6,104,62,42
0400139,257,8,3,5,4,2,2,216,101,115,19,10,9,10,5,5
0400141,87,1,1,0,1,0,1,6,2,4,0,0,0,79,37,42
0400142,88,0,0,0,0,0,0,36,19,17,1,1,0,51,23,28
0400143,113,2,2,0,0,0,0,46,28,18,58,25,33,7,4,3
0400144,151,13,3,10,0,0,0,59,17,42,19,9,10,60,24,36
0400145,69,6,2,4,2,1,1,14,11,3,6,3,3,41,24,17
0400146,144,8,6,2,0,0,0,78,43,35,8,5,3,50,16,34
0400147,152,147,66,81,0,0,0,4,2,2,0,0,0,1,0,1
0400148,254,5,1,4,0,0,0,149,81,68,79,42,37,21,11,10
0400149,201,10,6,4,1,0,1,142,76,66,11,7,4,37,22,15
0400150,117,0,0,0,0,0,0,117,49,68,0,0,0,0,0,0
0400151,161,2,1,1,13,5,8,28,12,16,29,9,20,89,33,56
0400152,122,7,6,1,1,1,0,14,5,9,4,3,1,96,54,42
0400153,150,19,11,8,1,1,0,65,36,29,5,2,3,60,31,29
0400154,146,146,62,84,0,0,0,0,0,0,0,0,0,0,0,0
0400155,214,71,38,33,0,0,0,1,1,0,0,0,0,142,81,61
0400157,336,19,12,7,5,3,2,30,18,12,15,12,3,267,153,114
0400159,109,7,2,5,0,0,0,55,20,35,9,7,2,38,19,19
0400160,59,20,9,11,0,0,0,31,15,16,2,1,1,6,1,5
0400161,232,17,6,11,5,1,4,71,38,33,13,8,5,126,76,50
0400162,416,5,0,5,2,0,2,397,180,217,8,2,6,4,4,0
0400163,107,56,34,22,0,0,0,13,7,6,3,3,0,35,24,11
0400164,96,4,2,2,2,0,2,12,3,9,9,7,2,69,41,28
0400165,174,2,0,2,25,13,12,15,11,4,8,3,5,124,56,68
0400177,40,40,19,21,0,0,0,0,0,0,0,0,0,0,0,0
0400181,389,3,0,3,18,8,10,28,9,19,9,4,5,331,164,167
0400182,217,2,1,1,0,0,0,20,13,7,2,2,0,193,97,96
0400183,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
0400184,573,8,4,4,46,18,28,104,50,54,60,31,29,355,188,167
0400185,693,13,5,8,3,1,2,264,136,128,374,178,196,39,19,20
0400187,195,0,0,0,2,1,1,0,0,0,5,3,2,188,107,81
0400188,186,1,1,0,17,8,9,24,15,9,20,5,15,124,60,64
0400189,11,1,0,1,0,0,0,1,1,0,0,0,0,9,4,5
0400190,371,2,2,0,2,0,2,295,152,143,22,9,13,50,20,30
0400191,218,6,3,3,6,5,1,69,40,29,20,9,11,117,55,62
0400192,80,2,0,2,1,0,1,16,7,9,1,0,1,60,27,33
0400197,5016,1428,713,715,35,15,20,534,272,262,51,24,27,2968,1527,1441
0400198,505,505,264,241,0,0,0,0,0,0,0,0,0,0,0,0
0400201,103,7,4,3,0,0,0,71,36,35,6,3,3,19,13,6
0400202,555,10,5,5,12,4,8,54,23,31,18,9,9,461,237,224
0400204,270,6,2,4,1,1,0,57,29,28,6,2,4,200,107,93
0400205,164,1,0,1,1,1,0,40,21,19,0,0,0,122,48,74
0400206,281,1,1,0,5,1,4,58,32,26,16,8,8,201,103,98
0400207,75,71,33,38,0,0,0,1,0,1,1,1,0,2,1,1
0400208,158,3,1,2,2,1,1,14,4,10,0,0,0,139,81,58
0400209,136,3,2,1,3,2,1,9,5,4,4,2,2,117,62,55
0400210,92,3,2,1,0,0,0,2,1,1,0,0,0,87,51,36
0400211,202,3,1,2,3,1,2,11,7,4,1,1,0,184,85,99
0400212,989,16,6,10,6,3,3,233,124,109,11,8,3,723,375,348
0400213,58,2,1,1,0,0,0,0,0,0,0,0,0,56,32,24
0400214,87,0,0,0,0,0,0,14,4,10,0,0,0,73,36,37
0400216,664,32,12,20,2,0,2,530,316,214,64,33,31,36,18,18
0400217,113,6,2,4,7,5,2,6,4,2,6,2,4,88,44,44
0400218,640,16,7,9,11,4,7,203,88,115,79,33,46,331,151,180
0400219,849,55,23,32,10,5,5,427,204,223,112,56,56,245,146,99
0400220,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
0400221,91,2,2,0,1,1,0,25,16,9,6,4,2,57,38,19
0400223,389,11,9,2,9,5,4,53,28,25,13,10,3,303,166,137
0400224,165,11,3,8,0,0,0,64,33,31,21,5,16,69,37,32
0400225,1335,23,9,14,136,81,55,95,46,49,61,34,27,1020,533,487
0400227,58,0,0,0,1,0,1,30,19,11,6,4,2,21,14,7
0400228,132,0,0,0,0,0,0,3,2,1,19,10,9,110,64,46
0400229,224,0,0,0,1,0,1,21,11,10,15,7,8,187,110,77
