LEAID,0
CENSUSID,218
FIPST_x,218
CONUM,218
CSA,218
CBSA,218
NAME,218
STNAME,218
STABBR,218
SCHLEV,218
AGCHRT,218
YEAR,218
CCDNF,218
CENFILE,218
GSLO,218
GSHI,218
V33,398
MEMBERSCH,242
TOTALREV,855
TFEDREV,855
C14,855
C15,855
C16,855
C17,855
C19,855
B11,855
C20,855
C25,855
C36,855
B10,855
B12,855
B13,855
TSTREV,855
C01,855
C04,855
C05,855
C06,855
C07,855
C08,855
C09,855
C10,855
C11,855
C12,855
C13,855
C35,855
C38,855
C39,855
TLOCREV,855
T02,255
T06,299
T09,299
T15,299
T40,299
T99,299
D11,855
D23,855
A07,855
A08,855
A09,855
A11,855
A13,855
A15,855
A20,855
A40,855
U11,855
U22,855
U30,855
U50,855
U97,855
C24,855
TOTALEXP,855
TCURELSC,855
TCURINST,855
E13,855
V91,855
V92,855
TCURSSVC,855
E17,855
E07,855
E08,855
E09,855
V40,855
V45,855
V90,855
V85,855
TCUROTH,855
E11,855
V60,855
V65,855
TNONELSE,855
V70,855
V75,855
V80,855
TCAPOUT,855
F12,855
G15,855
K09,855
K10,855
K11,855
L12,855
M12,855
Q11,855
I86,855
Z32,855
Z33,855
Z35,855
Z36,855
Z37,855
Z38,855
V11,855
V13,855
V15,855
V17,855
V21,855
V23,855
V37,855
V29,855
Z34,855
V10,855
V12,855
V14,855
V16,855
V18,855
V22,855
V24,855
V38,855
V30,855
V32,855
V93,855
_19H,855
_21F,855
_31F,855
_41F,855
_61V,855
_66V,855
W01,855
W31,855
W61,855
HR1,855
HE1,855
HE2,855
WEIGHT,218
SURVYEAR,26
FIPST_y,26
TOTD912,10971
EBS912,241
DRP912,10969
TOTDPL,1244
AFGEB,242
AFGR,1207
TOTOHC,452
FIPST,26
STID09,26
NAME09,26
PHONE09,41
MSTREE09,26
MCITY09,26
MSTATE09,26
MZIP09,26
MZIP409,3241
LSTREE09,118
LCITY09,30
LSTATE09,26
LZIP09,28
LZIP409,3349
TYPE09,26
UNION09,28
CONUM09,28
CONAME09,28
CSA09,28
CBSA09,28
METMIC09,28
ULOCAL09,28
CDCODE09,28
LATCOD09,26
LONCOD09,26
BOUND09,26
BIEA09,26
GSLO09,26
GSHI09,26
AGCHRT09,26
SCH09,26
UG09_x,44
PK1209,62
MEMBER09_x,54
SPECED09,56
ELL09,242
PKTCH09,1949
KGTCH09,1948
ELMTCH09,448
SECTCH09,448
UGTCH09,250
TOTTCH09,391
AIDES09,1521
CORSUP09,1968
ELMGUI09,4582
SECGUI09,4582
OTHGUI09,242
