total_students,total_schools,teachers_total,total_revenue,total_federal_revenue,total_state_revenue,total_local_revenue,total_expenditure,total_salaries,white_students,lowest_grade,highest_grade,metro_micro,charter_status,state_name,LEAID,NAME,exist_five_years
2483.0,b'4    ',b'-1     ',17281000,2471000,11523000,3287000,17333000,9057000,1625.0,PK,12,0,3,alabama,0100960,CRENSHAW CO SCH DIST,True
2679.0,b'7    ',b'-1     ',22277000,2577000,10438000,9262000,21157000,11215000,2470.0,KG,12,2,3,alabama,0100990,CULLMAN CITY SCH DIST,True
9837.0,b'28   ',b'-1     ',69750000,7859000,46294000,15597000,72257000,37649000,9404.0,PK,12,2,3,alabama,0101020,CULLMAN CO SCH DIST,True
2852.0,b'7    ',b'173.5  ',20459000,2124000,12976000,5359000,19533000,10730000,2270.0,PK,12,2,3,alabama,0101050,DALE CO SCH DIST,True
1468.0,b'4    ',b'109.4  ',11048000,1855000,7150000,2043000,10904000,5970000,796.0,KG,12,2,3,alabama,0101080,DALEVILLE CTY SCH DIST,True
4418.0,b'14   ',b'306.5  ',32872000,5674000,22361000,4837000,32381000,17133000,1006.0,PK,12,2,3,alabama,0101110,DALLAS CO SCH DIST,True
8329.0,b'14   ',b'-1     ',60939000,7769000,39269000,13901000,61064000,32239000,6271.0,KG,12,0,3,alabama,0101140,DE KALB CO SCH DIST,True
8845.0,b'19   ',b'-1     ',79552000,7623000,37699000,34230000,78980000,42986000,4827.0,PK,12,1,3,alabama,0101170,DECATUR CITY SCH DIST,True
2334.0,b'4    ',b'149    ',16011000,2303000,9696000,4012000,15529000,8659000,1073.0,PK,12,0,3,alabama,0101200,DEMOPOLIS CITY SCH DIST,True
8650.0,b'20   ',b'-1     ',67375000,10356000,39254000,17765000,66044000,37078000,3834.0,PK,12,1,3,alabama,0101230,DOTHAN CITY SCH DIST,True
913.0,b'3    ',b'-1     ',7659000,1141000,4770000,1748000,7511000,4177000,526.0,KG,12,2,3,alabama,0101260,ELBA CITY SCH DIST,True
10285.0,b'15   ',b'-1     ',68856000,7048000,46925000,14883000,70593000,35523000,7274.0,PK,12,1,3,alabama,0101290,ELMORE CO SCH DIST,True
5523.0,b'10   ',b'360.4  ',40582000,4324000,24797000,11461000,39141000,21913000,3564.0,KG,12,2,3,alabama,0101320,ENTERPRISE CTY SCH DIST,True
4507.0,b'14   ',b'316.3  ',39728000,6163000,21099000,12466000,38629000,19546000,2462.0,PK,12,0,3,alabama,0101350,ESCAMBIA CO SCH DIST,True
8858.0,b'23   ',b'624.1  ',59593000,6088000,40421000,13084000,71115000,33156000,8401.0,PK,12,1,3,alabama,0101380,ETOWAH COUNTY BOARD OF EDUCATION,True
2999.0,b'6    ',b'-1     ',21037000,2921000,12590000,5526000,20807000,11649000,1308.0,PK,12,0,3,alabama,0101410,EUFAULA CTY SCH DIST,True
2390.0,b'7    ',b'158    ',18130000,2351000,10065000,5714000,16651000,8909000,4.0,KG,12,1,3,alabama,0101440,FAIRFIELD CITY SCH DIST,True
2602.0,b'6    ',b'175.7  ',19498000,2155000,13049000,4294000,18280000,10287000,2168.0,KG,12,0,3,alabama,0101470,FAYETTE CO SCH DIST,True
4171.0,b'9    ',b'-1     ',39713000,5605000,17816000,16292000,42044000,21370000,2403.0,PK,12,1,3,alabama,0101530,FLORENCE CITY SCH DIST,True
2713.0,b'4    ',b'178.5  ',19980000,2170000,11746000,6064000,18815000,10247000,1895.0,KG,12,0,3,alabama,0101560,FORT PAYNE CITY SCH DIST,True
3033.0,b'7    ',b'231.9  ',26387000,4016000,14976000,7395000,24384000,13137000,2855.0,PK,12,0,3,alabama,0101590,FRANKLIN CO SCH DIST,True
5329.0,b'18   ',b'-1     ',48818000,8084000,28406000,12328000,62289000,23444000,2086.0,PK,12,1,3,alabama,0101620,GADSDEN CITY SCH DIST,True
