LEAID,NAME,cluster,label
5512390,RANDALL JT SCH DISTRICT 1,4,False
0504590,CONWAY SCH DIST,4,False
5510170,MUSKEGO-NORWAY SCHOOL DISTRICT,4,False
5304020,KIONA BENTON SCH DIST 52,0,False
2303510,BREWER CITY SCHS,2,False
5300003,KELSO SCHOOL DIST 458,0,False
4280100,MIDDLE BUCKS COUNTY AVTS,2,False
2610200,COLEMAN COMM SCH DIST 12,0,False
1800032,,4,True
3404470,EDGEWATER PARK TWP SCH DIST,4,False
1720190,IRVINGTON COMMUNITY CONSOLIDATED SCH,4,False
2201230,PLAQUEMINES PARISH SCHOOL DIST,2,False
4202910,BALD EAGLE AREA SCH DIST,4,False
2400210,CARROLL CO SCHS,4,False
2801191,,4,False
5511880,PLUM CITY SCHOOLS JT SCH DIST 3,4,False
2512360,,4,True
3904926,TRI-COUNTY NORTH LOCAL SCH DT,4,False
0400353,PEORIA ACCELERATED PUBLIC CHARTER HI,0,False
3000081,,4,False
3700022,MAUREEN JOY CHARTER,4,False
1001620,SMYRNA SCHOOL DISTRICT,0,False
4800219,PHOENIX CHARTER SCHOOL,0,False
5003010,CAVENDISH TOWN SCH DIST,0,False
4817130,DIME BOX IND SCH DIST 903,2,False
4502400,GREENWOOD CO SCH DIST 52,2,False
0400143,ENTERPRISE ACADEMY,0,False
3401560,BERKELEY TWP SCH DIST,2,False
4225170,WELLSBORO AREA SCH DIST,4,False
2200450,CLAIBORNE PARISH SCH DIST,4,False
0615600,GORMAN ELEM SCH DIST,0,False
1811970,VALPARAISO COMMUNITY SCHOOLS,2,False
3408220,LAKEWOOD TWP SCH DIST,4,False
1921120,NORTHEAST HAMILTON COMM SCHOOL DIST,2,False
3399949,,4,False
2600114,BLACK RIVER PUBLIC SCHOOL,0,False
4820700,GILMER IND SCH DIST 902,4,False
5500990,BELLEVILLE SCHOOL DISTRICT,4,False
0400001,CAVE CREEK UNIFIED SCHOOL DIST #93,2,False
2928920,ST CHARLES CO. SCHOOL DIST. R-6,2,False
0606810,CAJON VAL UNION ELEM SCH DIST,0,False
4828650,LYTLE IND SCH DIST 904,0,False
1812810,METRO SCH DIST WAYNE TWP,4,False
0626130,MOUNTAIN HOUSE ELEM SCH,4,False
3905023,SOUTHINGTON LOCAL SCHOOL DIST,4,False
3805670,EARL SCH DIST 18,2,False
2930570,UNION SCH DIST R 11,4,False
3900009,SOUTH CENTRAL OHIO EDUCATIONAL SERVI,4,False
5507410,KEWAUNEE SCH DIST,4,False
3011340,FORTINE ELEM DIST 14,4,False
2010350,OSWEGO UNIF SCH DIST 504,0,False
2507985,MINUTE MAN VOC-TECH SCH DIST,2,False
4800249,RICHARD MILBURN ACADEMY (,0,False
3171730,HEMINGFORD VIL SD 10,2,False
5309150,UNION GAP SCH DIST 2,0,False
4600003,WILMOT SCH DIST 54-7,4,False
3502160,QUESTA SCHOOL DIST,0,False
4821810,GROESBECK IND SCH DIST 902,2,False
